date,merchant,amount
2023-01-01,UBER *TRIP,$12.34
Jan 1st 23,Uber Technologies,15.00 USD
01/01/2023,UBER EATS,-$8.50
2023-02-15,STARBUCKS 123,$5.50
Feb 15th 2023,Starbucks Coffee,6.00 USD
02/15/2023,STARBUCKS,-$4.00
2023-03-10,Amazon Marketplace,$156.49
March 10 2023,AMZN Mktp US,120.00 USD
03/10/2023,Amazon,-$50.00
2023-04-05,RENT PAYMENT,$1200.00
April 5th 2023,Rent Payment,1200 USD
04/05/2023,RENT,-$1200.00
2023-05-20,LYFT *RIDE,$18.75
May 20th 2023,Lyft Inc,20.00 USD
05/20/2023,LYFT,-$15.25
2023-06-12,DUNKIN DONUTS,$3.25
June 12 2023,Dunkin,3.50 USD
06/12/2023,DUNKIN,-$2.75
2023-07-01,NETFLIX SUBSCRIPTION,$15.99
July 1st 2023,Netflix,15.99 USD
07/01/2023,NETFLIX,-$15.99
2023-08-15,WALMART SUPERSTORE,$45.67
August 15 2023,Walmart,50.00 USD
08/15/2023,WALMART,-$40.00
2023-09-10,UNKNOWN MERCHANT,$12.00
Sept 10 2023,Random Store,10.00 USD
09/10/2023,OTHER,-$8.00
2023/10/05,COFFEE SHOP XYZ,$2.50
October 5th 2023,Coffee Place,3.00 USD
10/05/2023,COFFEE,-$2.00
INVALID DATE,INVALID MERCHANT,INVALID AMOUNT
2023-13-45,VALID MERCHANT,$100.00
2023-01-01,VALID MERCHANT,NOT_A_NUMBER